chart_week,rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
2026-01-08,91,Linkin Park,In the End,Warner Records,22,110,125,10413997,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz,2000-10-24,False,90.0,nu metal|rap metal|rock|alternative metal,32860006.0,90.0
2026-01-08,92,Herencia De Grandes,Ya Borracho,Rancho Humilde,92,93,7,10407659,4NyUIohBa3CEMGcXURYSOh,0ocHleb3SllGNQQcDH35Xz,2025-11-07,False,88.0,corrido|corridos bélicos,836588.0,79.0
2026-01-08,93,Bruno Mars,Locked out of Heaven,Atlantic Records,23,97,179,10376188,5g7sDjBhZ4I3gcFIpkrLuI,,,,,unknown,,
2026-01-08,94,Ella Langley,Choosin' Texas,SAWGOD/Columbia,94,-1,1,10245102,65DbTqJKhbwqYbZ1Okr0rc,6BRxQ8cD3eqnrVj6WKDok8,2025-10-17,False,89.0,country,912576.0,83.0
2026-01-08,95,TOTO,Africa,Columbia,95,108,95,10243724,2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF,1982-04-08,False,89.0,yacht rock|soft rock,3873108.0,77.0
2026-01-08,96,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,K-Pop Demon Hunters,4,72,29,10214826,02sy7FAs8dkDNYsHp4Ul3f,0BJ2EjOqcfgFvlZXNKrNbE,2025-06-20,False,90.0,unknown,2847216.0,78.0
2026-01-08,97,Tate McRae,Sports car,RCA Records Label,16,132,49,10188928,5UJbgR4XF4y1DvbkxEqe8S,45dkTj5sMRSjrmBSBeiHym,2025-02-20,False,86.0,unknown,10049575.0,91.0
2026-01-08,98,Radiohead,Let Down,XL Recordings,55,114,32,10175918,2fuYa3Lx06QQJAm0MjztKr,4Z8W4fKeB5YxbusRsdQVPb,1997-05-28,False,90.0,art rock|alternative rock,14795134.0,88.0
2026-01-08,99,Empire Of The Sun,We Are The People,EMI Recorded Music Australia Pty Ltd,94,137,23,10116390,3zEN0ii6s4DHHBpnTp3RP7,67hb7towEyKvt5Z8Bx306c,2008-10-03,False,89.0,unknown,2110762.0,81.0
2026-01-08,100,Bad Bunny,EoO,Rimas Entertainment LLC.,9,87,53,10112366,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X,2025-01-05,True,90.0,reggaeton|trap latino|urbano latino|latin,106663197.0,99.0
2026-01-08,101,"Peso Pluma, Tito Double P",7-3,Double P Records,101,118,2,10063723,4lzo6zPM2paqyP8oBp3DOs,12GqGscKJx3aE4t07u7eVZ,2025-12-25,True,86.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25292382.0,92.0
2026-01-08,102,Keane,Somewhere Only We Know,Universal-Island Records Ltd.,71,113,163,10038440,0ll8uFnc0nANY35E0Lfxvg,,,,,unknown,,
2026-01-08,103,Nadhif Basalamah,kota ini tak sama tanpamu,After School,103,-1,1,10037996,13CwOTXUgBugeBByE9oIWb,6UgERnTHmjk3qXM9x5vzyO,2025-06-20,False,85.0,malay|indonesian pop|indonesian r&b,2505925.0,78.0
2026-01-08,104,Ed Sheeran,Shape of You,Atlantic Records UK,1,94,396,9951267,7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V,2017-03-03,False,90.0,soft pop,124370422.0,90.0
2026-01-08,105,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,17,59,133,9951257,0fea68AdmYNygeTGI4RC18,1vyhD5VmyZ7KMfW5gqLgo5,2019-06-28,False,89.0,reggaeton|latin,39734671.0,89.0
2026-01-08,106,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,24,78,70,9913223,6393yGahSJ9slVdOwSxOVR,,,,,unknown,,
2026-01-08,107,Aditya Rikhari,Sahiba,T-Series,37,96,27,9901534,0eLtIxPRNJfsmehITZ1qaJ,3ozYqVCLohfpXIhalkhM8D,2023-12-19,False,89.0,hindi indie|indian indie|desi pop|hindi pop,2667518.0,78.0
2026-01-08,108,Fuerza Regida,Marlboro Rojo,Rancho Humilde/Street Mob Records/Sony Music Latin,20,82,35,9898264,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,2025-05-02,True,89.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sierreño|banda|sad sierreño|electro corridos,22195462.0,92.0
2026-01-08,109,Rels B,TU VAS SIN (fav),DALE PLAY Records / Flakk Team,28,86,26,9835498,6uiQ0DqbXTBc8tl0AUKZkR,2IMZYfNi21MGqxopj9fWx8,2025-06-20,False,90.0,urbano latino|trap latino,10198393.0,83.0
2026-01-08,110,"LE SSERAFIM, j-hope",SPAGHETTI,SOURCE MUSIC,25,144,11,9833258,2N9miXnewVmUrgl6JSK1FI,4SpbR6yFEvexJuaBpgAU5p,2025-10-24,True,88.0,k-pop,8732351.0,82.0
2026-01-08,111,Justin Bieber,Sorry,RBMG/Def Jam,65,153,37,9825841,09CtPGIpYB4BrO8qb1RGsF,1uNFoZAHBGtllmzznpCI3s,2015-11-13,False,88.0,unknown,86441506.0,94.0
2026-01-08,112,Don Toliver,No Pole,Cactus Jack / Atlantic,72,117,56,9805263,0eaVIYo2zeOaGJeqZ5TwYz,4Gso3d4CscCijv0lmajZWs,2023-02-28,True,89.0,unknown,7917640.0,88.0
