artist_id,genres,followers,artist_popularity
0ghlgldX5Dd6720Q3qFyQB,k-pop,12277934,78
3qsKSpcV3ncke3hw52JSMB,trap latino,4891837,78
7GlBOeep6PqTfFi59PTUUN,,7671237,83
4ptGOXi053ILmLfMcIG2hB,brazilian funk|funk de bh,46870,49
7fT2Me47PQ8T7954PKrcwR,argentine trap|trap,1687999,68
0pePYDrJGk8gqMRbXrLJC8,corrido|corridos bélicos|corridos tumbados|electro corridos|dembow belico|banda|sierreño|sad sierreño|música mexicana,9641410,83
1fctva4kpRbg2k3v7kwRuS,trap latino,2739633,73
3y2cIKLjiOlp1Np37WiUdH,,1557250,77
1c3uso4iIeeX3P0bhKaQDq,,113438,60
7gZu6kPnY9enEi5FvgTO4F,sertanejo|sertanejo universitário|agronejo,599243,76
4s6Xg38sbqh4xpf4OqhVUK,,625939,70
3TOqt5oJwL9BE2NG9MEwDa,metal|nu metal|alternative metal|rap metal|hard rock,7771064,76
3K2Srho6NCF3o9MswGR76H,,726889,65
4OVbrPbhvK46A1uXTU1u5F,jersey club,739450,63
5MraexJKZDrQYzS98kNwie,,941587,70
5LeiVcEnsZcwc133TUhJNW,latin pop,2597432,74
2dIgFjalVxs4ThymZ67YCE,k-pop|noise music,21873289,87
2IMZYfNi21MGqxopj9fWx8,urbano latino|trap latino,10179271,83
4XpUIb8uuNlIWVKmgKZXC0,k-rap|k-pop,2135705,65
6Dd3NScHWwnW6obMFbl1BH,,1892367,73
61ifFEOS4km183fkC64e8I,budots,2225,32
4OV6uYSnHxSYkjDYuBVBUz,french pop|variété française|chanson,1923737,64
7yiLonxrJVgZKSbjo0gh6V,arabesk|turkish pop|turkish hip hop,268255,49
3DbwFQlvLxRSi2uX8mf81A,,2425793,76
6Q192DXotxtaysaqNPy5yR,,9861922,79
13ubrt8QOOCPljQ2FL1Kca,rap,17745668,85
2rEVnwCPBeGkWMv425KoG1,german pop,2367515,71
1Fg19vpUJpAAPFjnKaVYVW,turkish pop|turkish hip hop,3195461,63
2O8vbr4RYPpk6MRA4fio7u,,1958126,74
5Wg72TowYBWIcSo3K2r84N,,204379,50
2auC28zjQyVTsiZKNgPRGs,k-pop|k-rap,17932718,74
1zxDewzd2j1ZdSBGaYcr0y,,816926,70
4F84IBURUo98rz4r61KF70,garage rock|blues rock|rock|alternative rock,3606024,71
1WaFQSHVGZQJTbf0BdxdNo,,969641,71
3bO19AOone0ubCsfDXDtYt,,1416260,76
0rvjqX7ttXeg3mTy8Xscbt,aor|classic rock,6670877,76
0TnOYISbd1XYRBk9myaseg,,12239967,87
15UsOTVnJzReFVN1VCnxy4,emo rap,52476195,86
6DIS6PRrLS3wbnZsf7vYic,,2263499,68
1ncWEkB4AQh1rxC8ObpBoH,europop,161904,52
2KZFvVVk9lxD85USaOv76T,sertanejo|sertanejo universitário,297195,54
4tuJ0bMpJh08umKkEXKUI5,,8202906,85
2loEsOijJ6XiGzWYFXMIRk,afro house|house|afro tech,349250,73
6YVMFz59CuY7ngCxTxjpxE,k-pop,10189768,79
7LVC96BEVGugTAp38AajV6,dark r&b,570594,73
5H4yInM5zmHqpKIoMNAx4r,uk drill|drill|uk grime,10196384,82
3PpjqSKBer3obW6lDflOBx,bollywood|desi|hindi pop,727466,65
